ObjectID,Pool,Zone,Distance,Ammonium(ug/g*dm),Nitrate (ug/g*dm),Ammonium+Nitrate (ug/g*dm),Total Nonnative PC
,6,E,0,1.5417578,2.16312588,3.70488368,4
,6,T,2,2.9625512,3.66740724,6.62995844,6
,6,M,4,3.0025478,3.54743388,6.54998168,0
,6,M,6,10.4552476,13.34372016,23.79896776,0
,6,T,8,3.5758324,4.62719412,8.20302652,3
,6,E,10,2.3854574,3.00140128,5.38685868,11
,7,E,0,3.3548988,3.94734508,7.30224388,5
,7,T,2,3.2806194,3.6797122,6.9603316,2
,7,M,10,5.3185414,6.78210024,12.10064164,0
,7,M,12,2.6559106,2.72146344,5.37737404,0
,7,T,22,2.949219,3.82890984,6.77812884,2
,7,E,26,1.539815,1.80935828,3.34917328,5
,9,E,0,1.635045,1.38176092,3.01680592,7
,9,T,2,9.9448148,4.69640952,14.64122432,7
,9,M,6,9.5353258,11.14882292,20.68414872,0
,9,M,8,4.2233964,4.35802312,8.58141952,1
,9,T,14,1.7055152,1.67092748,3.37644268,4
,9,E,16,5.339492,6.92822164,12.26771364,8
,14,E,0,1.9512086,2.24003188,4.19124048,2
,14,T,4,2.2787998,2.76299268,5.04179248,0
,14,M,14,1.2465066,1.47097188,2.71747848,2
,14,M,16,1.3836378,1.49711992,2.88075772,0
,14,T,26,2.2388032,2.6722436,4.9110468,0
,14,E,28,1.8464556,2.33078096,4.17723656,5
,16,E,0,2.7130486,3.94580696,6.65885556,34
,16,T,4,2.8844626,3.23827176,6.12273436,10
,16,M,14,4.0291272,3.96580252,7.99492972,1
,16,M,16,6.9507836,8.10026908,15.05105268,1
,16,T,24,7.282184,8.01105812,15.29324212,14
,16,E,26,2.7568544,4.4257004,7.1825548,17
,PH1,E,0,1.30174,2.32924284,3.63098284,3
,PH1,T,4,2.63496,16.80602828,19.44098828,0
,PH1,M,10,2.6521014,3.92888764,6.58098904,0
,PH1,M,12,1.2141284,2.29386608,3.50799448,0
,PH1,T,20,1.4979138,1.32792672,2.82584052,3
,PH1,E,22,2.0883398,4.00117928,6.08951908,5