ObjectID,GlobalID,Monitoring Date,Monitor Names,Vernal Pool?,Vernal Pool Name or Number,Vernal Pool Axis,Project Site,Total Transect Length,Transect Distance of Quadrat,Side of Transect (Left or Right),Vernal Pool Zone,Quadrat Notes (Optional),Percent Bare Ground,Percent Natural Thatch,Percent Mowed/Trimmed Thatch,Thatch Notes (Optional),Count of Native Species,Sum of Native Cover,Count of Non-Native Species,Sum of Non-Native Cover,Count of Unknown Species,Sum of Unknown Cover,Sum of Thatch,Sum of Other Cover,Bare Ground,SUM of ALL COVER,CreationDate,Creator,EditDate,Editor,x,y
530,41ec2191-ba36-42e8-abb8-2ccbacfc15c3,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,0,Left,edge,,0,30,25,,2,12,6,34,0,0,55,0,0,101,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8793948,34.4220894
531,3a9babf4-6984-4f04-8699-a0da07a6ba63,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,2,Right,transition,,0,19,0,,6,73,4,18,0,0,19,3,0,113,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8815547,34.4224944
532,81f1a711-7ffb-4f01-a743-a69b908cf2f9,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,4,Left,transition,,9,3,0,,3,83,3,10,0,0,3,1,9,106,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8815853,34.4224877
533,3ccf80c6-dbd9-481e-8933-3d9a1297233b,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,6,Right,bottom,,7,2,0,,1,94,0,0,1,2,2,0,7,105,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8815999,34.4224829
534,a04ca7f2-11df-4d28-82ff-88a80041573e,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,8,Left,bottom,,20,0,0,,2,62,1,23,1,7,0,0,20,112,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.881554,34.4224982
535,f197696a-4df4-4a92-8770-d5ae29726496,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,10,Right,bottom,,30,1,0,,3,68,1,4,1,1,1,0,30,104,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8815598,34.4224978
536,13d881dc-47a2-4fb1-9336-44d28344879b,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,12,Left,bottom,,20,8,0,,1,75,1,4,1,2,8,0,20,109,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8816786,34.4225086
537,0109ea76-5372-47d1-a2f4-35b91ed2fafc,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,14,Right,bottom,,24,2,0,,2,76,1,1,1,5,2,0,24,108,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8809268,34.4225068
538,638e7968-6d73-49cb-970d-795188d964d4,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,16,Left,bottom,,20,2,0,,2,80,1,1,1,0,2,1,20,104,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.881768,34.4225434
539,1f499808-5864-477d-a19b-9f6c747417c7,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,18,Right,bottom,,15,3,0,,2,85,1,1,1,1,3,0,15,105,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8816242,34.4225114
540,f9e3c162-5c06-4a52-9e42-4c9c13b7d769,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,20,Left,bottom,Rabbit poop spotted,22,18,0,,1,60,1,1,1,2,18,0,22,103,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8817592,34.4225559
541,a0aad3d7-989f-4c4e-98aa-08c5d9236c9b,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,22,Right,bottom,,25,2,0,,2,81,0,0,1,6,2,0,25,114,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8816599,34.4225554
542,c80522ed-8176-4f5d-b0cc-21c1fd3baf6d,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,24,Left,transition,,1,15,0,,4,91,4,14,0,0,15,0,1,121,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8817917,34.4225371
543,9920f992-4fc5-4c5f-9ff1-163f0dced5a7,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,26,Right,edge,,0,10,0,,1,85,5,17,0,0,10,0,0,112,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.881805,34.4225347
1285,bac22aa2-04d6-403d-b865-4ac9d1228372,6/17/21 19:00,Lauren Weichert,yes,6,major,north_parcel,10,0,Left,edge,,65,3,24,,4,6,4,4,0,0,27,0,65,102,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.871108,34.4215371
1286,032ca2e2-dac6-40bf-8006-11410da1ba3a,6/17/21 19:00,Lauren Weichert,yes,6,major,north_parcel,10,2,Right,transition,,70,3,3,,6,20,6,9,0,0,6,0,70,105,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.883522,34.4237231
1287,d357a224-862a-43da-8636-baa0d39f42ad,6/17/21 19:00,Lauren Weichert,yes,6,major,north_parcel,10,4,Left,bottom,Water level gauge at 5 m on right side,1,99,0,,2,72,0,0,0,0,99,0,1,172,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.8835412,34.4237487
1288,5b6663ec-992e-4fa2-aeab-442a1d7fd7c7,6/17/21 19:00,Lauren Weichert,yes,6,major,north_parcel,10,6,Right,bottom,Just barely missing Eryngium vaseyi ,10,30,0,,2,65,0,0,0,0,30,0,10,105,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.8835462,34.4237068
1289,ceb428f4-da12-4d17-82a9-c581eeecf37f,6/17/21 19:00,Lauren Weichert & Elizabeth,yes,6,major,north_parcel,10,8,Left,transition,,60,19,0,,5,24,3,10,0,0,19,0,60,113,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.8836167,34.4237584
1290,dbef698a-c323-414f-bd1c-c323bd704878,6/17/21 19:00,Lauren Weichert and Elizabeth,yes,6,major,north_parcel,10,10,Right,edge,,85,8,0,,4,4,11,25,0,0,8,0,85,122,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.8836259,34.4236832
1312,b20cbb29-05fa-41fb-948e-89fe98dd858b,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,0,Left,edge,,60,0,1,,9,39,5,15,0,0,1,0,60,115,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8830878,34.4237176
1313,0585da83-9c30-48e5-81e5-6b69be87368b,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,2,Right,transition,,25,0,0,,3,64,2,22,0,0,0,0,25,111,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8830829,34.423702
1314,a785bcd9-ba36-4189-aabb-d657d9ce5afd,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,4,Left,bottom,,10,0,0,,6,55,2,41,0,0,0,0,10,106,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831087,34.423728
1315,eb541340-7baa-4392-8f45-6b7625150318,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,6,Right,bottom,,20,3,0,,6,35,1,50,0,0,3,0,20,108,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831301,34.4237142
1316,6aa9fb62-ea76-4f51-8733-46c3bafe823d,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,8,Left,bottom,,25,40,0,,2,88,0,0,0,0,40,0,25,153,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831441,34.4237294
1317,d97d9343-e1de-45b2-8c95-6598ec7be031,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,10,Right,bottom,,7,65,0,,1,85,0,0,0,0,65,0,7,157,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831653,34.4237185
1318,cb1ba245-36ab-4b8b-9f72-f3e011d06192,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,12,Left,bottom,,5,70,0,,2,82,0,0,0,0,70,0,5,157,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831854,34.4237385
1319,3c429f01-c8ff-412b-bac8-bf490cc337be,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,14,Right,bottom,,20,35,0,,2,69,0,0,0,0,35,0,20,124,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8832354,34.4237614
1320,2a13a355-0acc-4af6-8ce4-681752a4cbef,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,16,Left,bottom,,40,12,0,,5,46,2,14,0,0,12,0,40,112,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8832209,34.4237575
1321,3e67f461-0a41-4f67-a827-fb9f5a452bdb,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,18,Right,bottom,,20,3,0,,6,44,2,56,0,0,3,0,20,123,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8832678,34.4237743
1322,999f4434-aa27-4318-a24d-85db78f8895c,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,20,Left,transition,,20,4,0,,5,75,2,16,0,,4,0,20,,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8832674,34.4237801
1323,1c0ad6cb-58c3-4bb7-8686-99fa78bed94a,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,22,Right,transition,,50,0,0,,7,27,2,26,0,,0,0,50,,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.883288,34.4237767
1324,34174af8-10ac-4067-ae65-56aed9c54588,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,24,Left,transition,,63,0,10,,7,13,6,15,0,0,10,0,63,101,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8832951,34.4238055
1325,2afa0415-5f38-443d-be53-78a056490ede,6/21/21 19:00,Lauren,yes,7,major,north_parcel,26,26,Right,edge,Dudleya lanceolata nearby,50,3,2,,3,11,5,35,0,0,5,0,50,101,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8833216,34.4237884
1326,54aa3eaa-abf1-4006-a304-0ba5d2ed3f96,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,0,Left,edge,,2,2,0,,4,4,7,22,0,0,2,70,2,100,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8711193,34.4215516
1327,0b2d5721-2df2-4061-87fd-40577b011643,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,2,Right,transition,,50,1,0,,6,39,7,13,0,0,1,0,50,103,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8823408,34.4234931
1328,c62c39d1-12d1-4a6f-81fe-6c4c12010616,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,4,Left,,,22,33,0,,2,68,2,2,0,0,33,0,22,125,6/22/21 23:49,ccber_user,6/22/21 23:49,ccber_user,-119.8823883,34.4234472
1329,14671510-1810-453c-87f4-ddd69a333cc9,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,6,Right,bottom,,9,22,0,,4,96,0,0,0,0,22,0,9,127,6/22/21 23:49,ccber_user,6/22/21 23:49,ccber_user,-119.8824114,34.4234692
1330,df01ece7-12de-4f1f-bff7-3607aa4f4394,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,8,Left,bottom,,36,13,0,,2,75,1,1,0,0,13,0,36,125,6/22/21 23:49,ccber_user,6/22/21 23:49,ccber_user,-119.8824177,34.4234738
1331,b110c97f-0dc9-4c06-9be7-3dcfca7e3ee0,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,10,Right,,,7,53,0,,2,89,0,0,0,0,53,0,7,149,6/22/21 23:49,ccber_user,6/22/21 23:49,ccber_user,-119.8824344,34.4234331
1332,2605bb59-ec04-4d6b-9170-95c9e3a82e51,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,12,Left,transition,,27,36,0,,3,46,2,2,0,0,36,0,27,111,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8824443,34.4234399
1333,849b540f-0e27-402e-baf7-d702b91d6928,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,14,Right,transition,,25,21,0,,5,23,4,37,0,0,21,0,25,106,6/22/21 23:49,ccber_user,6/22/21 23:49,ccber_user,-119.8824957,34.4234417
1334,611e2efa-eb88-4601-991d-4f30ef871896,6/22/21 19:00,"Ethan A., Lauren W.",yes,9,major,north_parcel,16,16,Left,,,34,6,0,,5,39,8,14,0,0,6,11,34,104,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8825339,34.4234559
1335,4eaa38fd-f882-4da9-8c35-86488cd163be,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,0,Left,edge,,0,45,0,,6,76,2,2,0,0,45,5,0,128,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8820102,34.4228147
1336,c2096797-b4e5-4a89-8ce7-19bf27853e7b,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,2,Right,transition,Large eryngium patches just outside quadrat,0,78,0,,5,55,2,2,0,0,78,0,0,135,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8817666,34.4227349
1337,7aff0848-6243-4a6e-b7d0-b0bfba7d4374,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,4,Left,transition,,9,68,0,,3,46,0,0,0,0,68,0,9,123,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8817515,34.4227306
1338,105f56ee-5881-4d39-a827-308d2a004502,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,6,Right,bottom,,0,98,0,,1,40,0,0,0,0,98,0,0,138,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8817842,34.4227468
1339,a3b76a7d-8ffa-4e59-b461-c0ccc4e2a57e,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,8,Left,bottom,,2,90,0,,1,30,0,0,0,0,90,0,2,122,6/22/21 23:49,ccber_user,6/23/21 21:25,ccber_user,-119.8817872,34.4227225
1340,98198b5e-0212-468e-a836-0bb08c15ddad,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,10,Right,,,4,85,0,,1,37,0,0,0,0,85,0,4,126,6/22/21 23:49,ccber_user,8/10/21 20:37,CCBER-Admin,-119.881834,34.4227458
1344,29a1e045-9758-4442-b858-31426225e413,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,10,Right,,,4,85,0,,1,37,0,0,0,0,85,0,4,126,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.881834,34.4227458
1345,5c36de9e-e9b7-4c2e-b368-7c15728e73f8,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,12,Left,bottom,Frankenia salina patch just outside quadrat,7,75,0,,1,45,4,5,0,0,75,0,7,132,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.881862,34.4227457
1346,4d88ba61-5335-41e8-95c9-c2dcd76b7144,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,14,Right,bottom,,11,58,0,,3,50,2,4,0,0,58,0,11,123,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.8818725,34.4227534
1347,b21e5bc3-6378-45e3-ba62-2f7ee3628598,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,16,Left,bottom,On mound in vernal pool bottom,1,98,0,,2,71,0,0,0,0,98,0,1,170,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.8818779,34.4227543
1348,d419f406-99f1-498a-ab88-8beb6a149fde,6/22/21 19:00,"Ethan A., Lauren W.",yes,14,major,north_parcel,28,18,Right,bottom,"On mound, water guage 3m to the left",1,87,0,,1,60,0,0,0,0,87,10,1,158,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.8819212,34.4227594
1349,4170f0f5-1438-479c-9c49-978bfd2ac238,6/22/21 19:00,"Lauren W., Wayne",yes,14,major,north_parcel,28,20,Left,bottom,,55,8,0,,2,40,4,11,0,0,8,0,55,114,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.8819331,34.4227718
1350,10611794-7dd7-4eec-8462-f030096364d4,6/22/21 19:00,"Lauren W., Wayne",yes,14,major,north_parcel,28,22,Right,bottom,,34,20,0,,2,69,2,3,0,0,20,0,34,126,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.8819369,34.4227722
1351,d594c1e2-42ba-4941-8c73-594d5b7d014e,6/22/21 19:00,"Lauren W., Wayne",yes,14,major,north_parcel,28,24,Left,bottom,,3,90,0,,2,100,1,1,0,0,90,0,3,194,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.8819705,34.4227767
1352,72259370-0389-4754-8f16-6552db0c4764,6/22/21 19:00,"Lauren W., Wayne",yes,14,major,north_parcel,28,26,Right,transition,Croton setiger in vp nearby,2,75,0,,4,91,0,0,0,0,75,0,2,168,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.8819836,34.4227795
1353,24a7fc1f-ded0-4d85-9080-58d0be032c62,6/22/21 19:00,"Lauren W., Wayne",yes,14,major,north_parcel,28,28,Left,edge,,3,20,0,,3,34,5,47,0,0,20,0,3,104,6/23/21 21:25,ccber_user,6/23/21 21:25,ccber_user,-119.8820064,34.4227915
1388,4bd10919-d573-434d-b2ee-f6da5c653378,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,major,north_parcel,23,0,Left,edge,,10,35,0,,7,129,3,3,0,0,35,0,10,177,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8796533,34.4230927
1389,8a2d9b30-c3df-4980-a915-8d5cfe0ea58d,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,major,north_parcel,23,2,Right,edge,,4,35,50,,2,20,4,30,0,0,85,0,4,139,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8792564,34.4230639
1390,d320a4cb-18a7-411d-b215-cb56d99096c8,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,major,north_parcel,23,4,Left,transition,,0,100,0,,3,87,0,0,0,0,100,0,0,187,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8792551,34.4230712
1391,f9cdf9b5-903e-4b05-85a7-79c8f53740e5,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,major,north_parcel,23,6,Right,bottom,,0,100,0,,3,103,0,0,0,0,100,0,0,203,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8792875,34.4230531
1392,59f381c3-32a9-4d04-ba96-559fbee1c835,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,major,north_parcel,23,8,Left,bottom,,0,100,0,,3,77,0,0,0,0,100,0,0,177,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8793031,34.4230342
1393,d81a6cfd-3f78-44c9-bc7a-5217c1e97c80,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,major,north_parcel,23,10,Right,bottom,,0,100,0,,2,70,0,0,0,0,100,0,0,170,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8793177,34.4230188
1394,754dc264-496a-4309-a3a5-7e7fc2677fd9,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,,north_parcel,23,12,Left,bottom,,0,100,0,,3,76,0,0,0,0,100,0,0,176,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8793287,34.422998
1395,32d258fd-7c28-4ca4-a97e-94cd3c5ac0b7,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,,north_parcel,23,14,Right,bottom,,2,97,0,,3,113,0,0,0,0,97,0,2,212,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8793352,34.4229857
1396,0062be65-8404-422e-baec-17a86c98cb21,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,,north_parcel,23,16,Left,bottom,,4,65,0,,4,155,0,0,0,0,65,0,4,224,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8793556,34.4229725
1397,def8d9ed-cff2-47f7-ac6c-c514e545da7b,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,,north_parcel,23,18,Right,bottom,,1,95,0,,4,159,3,6,0,0,95,0,1,261,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.879401,34.4229633
1398,71f16ed3-570f-4959-bcba-7361dd1124b5,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,,north_parcel,23,20,Left,transition,,1,50,35,,4,28,3,27,0,0,85,0,1,141,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8794145,34.4229552
1399,74eff574-653a-4796-85de-b0276459bea6,6/23/21 19:00,Lauren W. and Wayne,yes,PH1,,north_parcel,23,22,Right,edge,,2,95,27,,2,19,5,14,0,0,122,0,2,157,6/23/21 21:26,ccber_user,6/23/21 21:26,ccber_user,-119.8794321,34.4229528